Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Tinamidae,Tinamiformes,Eudromia elegans,Elegant crested-tinamou,1220.7,1221.6,1578.8,1578.8,1594.8,1603.8,1609.8,2108.0,2466.2,2511.3,2804.3,2927.5,3097.4,3113.4,3152.5,3168.5
Eurypygiformes,Eurypygidae,Eurypyga Helias,Sunbittern,1220.7,1221.6,1608.8,1550.8,1566.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2927.5,3127.4,3143.4,3152.5,3168.5
Coraciiformes,Coraciidae,Eurystomus Gularis,Eurystomus Gularis,1220.7,1221.6,1578.8,1578.8,1594.8,1603.8,1596.8,2108.0,2466.2,2511.3,2777.3,2913.5,3097.4,3113.4,3136.5,3152.5
Galliformes,Phasianidae,Excalfactoria chinensis,Blue-breasted quail,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1636.8,2108.0,2466.2,2553.3,2777.3,2927.5,3097.4,3113.4,3192.5,3208.5
Falconiformes,Falconidae,Falco Biarmicus,lanner falcon,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2509.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Falconiformes,Falconidae,Falco Cherrug,Saker falcon,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2509.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Falconiformes,Falconidae,Falco Naumanni,Lesser kestrel,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2495.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Falconiformes,Falconidae,Falco Peregrinus,Peregrine falcon,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2509.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Falconiformes,Falconidae,Falco Rusticolus,Gyrfalcon,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1596.8,2108.0,2466.2,2509.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Passeriformes,Muscicapidae,Ficedula Albicollis,Collared flycatcher,1220.7,1221.6,1578.8,1564.8,1580.8,1589.8,1608.8,2108.0,2466.2,2497.2,2777.3,2913.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Formicariidae,Formicarius Rufipectus,Formicarius Rufipectus,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1609.8,2108.0,2466.2,2499.2,2777.3,2927.5,3097.4,3113.4,3156.5,3172.5
Suliformes,Fregatidae,Fregata Magnificens,Magnificent frigatebird,1220.7,1221.6,1578.8,1524.8,,1603.8,1579.7,2108.0,2466.2,2497.2,2804.3,2927.5,3106.4,3122.4,3152.5,3168.5
Gruiformes,Rallidae,Fulica atra,Common coot,1220.7,1221.6,1578.8,1578.8,1594.8,1589.8,1609.8,2108.0,2466.2,2497.2,2804.3,2985.5,3097.4,3113.4,3152.5,3168.5
Procellariiformes,Procellariidae,Fulmarus Glacialis,Northern fulmar,1220.7,1195.6,1568.8,1550.8,1566.8,1589.8,1579.7,2108.0,2466.2,2497.2,2804.3,2913.5,3106.4,3122.4,3142.4,3158.4
Passeriformes,Furnariidae,Furnarius Figulus,Furnarius Figulus,1220.7,1221.6,1578.8,1592.8,1608.8,1589.8,1596.8,2108.0,2466.2,2527.3,2777.3,2927.5,3097.4,3113.4,3156.5,3172.5
